cidade;estado;populacao;idh;num familias bolsa famila
aroeiras do itaim;piaui;2759;0.519;520
arraial;piaui;5165;0.56;862
arraial do cabo;rio de janeiro;26896;0.733;1569
arraias;tocantins;10913;0.651;1421
arroio do meio;rio grande do sul;19059;0.769;138
arroio do padre;rio grande do sul;2882;0.669;40
arroio do sal;rio grande do sul;7291;0.74;324
arroio do tigre;rio grande do sul;13208;0.707;495
arroio dos ratos;rio grande do sul;14181;0.698;919
arroio grande;rio grande do sul;18748;0.657;1213
arroio trinta;santa catarina;3638;0.764;47
artur nogueira;sao paulo;43499;0.749;1299
aruana;goias;7056;0.675;358
aruja;sao paulo;80922;0.784;4182
arvoredo;santa catarina;2241;0.715;39
arvorezinha;rio grande do sul;10548;0.694;316
ascurra;santa catarina;6945;0.742;48
aspasia;sao paulo;1826;0.735;74
assai;parana;16112;0.728;609
assare;ceara;22550;0.6;4438
assis;sao paulo;98715;0.805;2516
assis brasil;acre;5662;0.588;1315
assis chateaubriand;parana;33023;0.729;874
assuncao;paraiba;3471;0.609;857
assuncao do piaui;piaui;8370;0.499;1325
astolfo dutra;minas gerais;13109;0.694;486
astorga;parana;25164;0.747;680
atalaia;alagoas;53023;0.561;7753
atalaia;parana;3645;0.736;111
atalaia do norte;amazonas;14715;0.45;1936
atalanta;santa catarina;3402;0.733;46
ataleia;minas gerais;15162;0.588;2460
atibaia;sao paulo;126757;0.765;2877
atilio vivacqua;espirito santo;9361;0.708;462
augustinopolis;tocantins;15469;0.67;1570
augusto correa;para;39317;0.52;7859
augusto de lima;minas gerais;4599;0.656;513
augusto pestana;rio grande do sul;7361;0.743;145
augusto severo;rio grande do norte;9203;0.621;2429
aurea;rio grande do sul;3789;0.707;52
aurelino leal;bahia;14280;0.568;2416
auriflama;sao paulo;14366;0.773;141
aurilandia;goias;3709;0.7;255
aurora;ceara;25113;0.605;3792
aurora;santa catarina;5560;0.733;43
aurora do para;para;22315;0.519;3977
aurora do tocantins;tocantins;3523;0.677;432
autazes;amazonas;31774;0.577;7664
avai;sao paulo;5170;0.714;366
avanhandava;sao paulo;12112;0.705;761
avare;sao paulo;84416;0.767;2424
aveiro;para;20266;0.541;2155
avelino lopes;piaui;12039;0.554;2693
avelinopolis;goias;2421;0.66;267
axixa;maranhao;15203;0.641;2338
axixa do tocantins;tocantins;9203;0.627;2011
babaculandia;tocantins;10698;0.642;1099
bacabal;maranhao;98489;0.651;13531
bacabeira;maranhao;15574;0.629;3040
bacuri;maranhao;16585;0.578;2986
bacurituba;maranhao;5687;0.537;1089
bady bassitt;sao paulo;14127;0.746;317
baependi;minas gerais;18745;0.681;1254
bage;rio grande do sul;115745;0.74;7248
bagre;para;20386;0.471;3473
baia da traicao;paraiba;7966;0.581;1650
baia formosa;rio grande do norte;8811;0.609;1180
baianopolis;bahia;14195;0.589;2803
baiao;para;28299;0.578;6011
baixa grande;bahia;21814;0.585;3431
baixa grande do ribeiro;piaui;10804;0.564;2025
baixio;ceara;5991;0.627;1046
baixo guandu;espirito santo;29891;0.702;2001
balbinos;sao paulo;4697;0.669;110
baldim;minas gerais;8582;0.671;602
baliza;goias;3679;0.655;380
balneario arroio do silva;santa catarina;8808;0.746;322
balneario barra do sul;santa catarina;7791;0.716;480
balneario camboriu;santa catarina;102081;0.845;644
balneario gaivota;santa catarina;7959;0.728;423
balneario picarras;santa catarina;14845;0.756;623
balneario pinhal;rio grande do sul;11840;0.696;1002
balsa nova;parana;11252;0.696;604
balsamo;sao paulo;8227;0.756;156
balsas;maranhao;83617;0.687;8709
bambui;minas gerais;22622;0.741;531
banabuiu;ceara;18388;0.606;2635
bananal;sao paulo;10822;0.733;639
bananeiras;paraiba;22316;0.568;3397
bandeira;minas gerais;5521;0.599;654
